Ticker,Weight
ADANIPORTS,0.02
ASIANPAINT,0.02
AXISBANK,0.02
BAJAJ-AUTO,0.02
BAJAJFINSV,0.02
BAJAJFINANCE,0.02
BHARTIARTL,0.02
BPCL,0.02
BRITANNIA,0.02
CIPLA,0.02
COALINDIA,0.02
DRREDDY,0.02
EICHERMOT,0.02
GAIL,0.02
GRASIM,0.02
HCLTECH,0.02
HDFC,0.02
HDFCBANK,0.02
HEROMOTOCO,0.02
HINDALCO,0.02
HINDUNILVR,0.02
ICICIBANK,0.02
INDUSINDBK,0.02
INFRATEL,0.02
INFY,0.02
IOC,0.02
ITC,0.02
JSWSTEEL,0.02
KOTAKBANK,0.02
LT,0.02
MM,0.02
MARUTI,0.02
NESTLEIND,0.02
NTPC,0.02
ONGC,0.02
POWERGRID,0.02
RELIANCE,0.02
SBIN,0.02
SHREECEM,0.02
SUNPHARMA,0.02
TATAMOTORS,0.02
TATASTEEL,0.02
TCS,0.02
TECHM,0.02
ULTRACEMCO,0.02
TITAN,0.02
UPL,0.02
WIPRO,0.02
VEDL,0.02
ZEEL,0.02
